Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,WCA Round,Census Year,Unit,Value,Flag,Flag Description,Note
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","1990","1995","No","274000","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270030","Holdings with land size 0-<1","2000","1998","ha","128508","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2000","1998","No","279793","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270030","Holdings with land size 0-<1","2010","2012","ha","99758","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270030","Holdings with land size 0-<1","2010","2012","No","215034","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","1990","1995","No","170300","A","Official figure","Land under crops"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270031","Holdings with land size 1-<2","2000","1998","ha","198921","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2000","1998","No","140377","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270031","Holdings with land size 1-<2","2010","2012","ha","109987","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270031","Holdings with land size 1-<2","2010","2012","No","76550","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270032","Holdings with land size 2-<3","2010","2012","ha","48544","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270032","Holdings with land size 2-<3","2010","2012","No","20073","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270033","Holdings with land size 2-<5","2000","1998","ha","1562069","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270033","Holdings with land size 2-<5","2000","1998","No","46639","A","Official figure",""
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270034","Holdings with land size 3-<4","2010","2012","ha","13375","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","60850","Number","270034","Holdings with land size 3-<4","2010","2012","No","3514","E","Estimated value","Interpolated data"
"WCAD","Structural data from agricultural censuses","008","Albania","50260","Area","270035","Holdings with land size 4-<5","2010","2012","ha","10603","E","Estimated value","Interpolated data"
