country_iso_code,country_name,agricultural_census_decade,agricultural_census_year,total_area_ha,number_of_properties,farm_size_lower_limit,farm_size_upper_limit
8,Albania,2000,1998,128508.0,279793,0,1
8,Albania,2000,1998,198921.0,140377,1,2
8,Albania,2000,1998,1562069.0,46639,2,5
8,Albania,2010,2012,99758.0,215034,0,1
8,Albania,2010,2012,109987.0,76550,1,2
8,Albania,2010,2012,48544.0,20073,2,3
8,Albania,2010,2012,13375.0,3514,3,4
8,Albania,2010,2012,10603.0,2785,4,5
8,Albania,2010,2012,11573.0,1665,5,10
8,Albania,2010,2012,77769.0,1871,10,20
12,Algeria,2000,2001,70516.0,223115,0,1
12,Algeria,2000,2001,162315.0,128864,1,2
12,Algeria,2000,2001,722275.0,239844,2,5
12,Algeria,2000,2001,1200598.0,181267,5,10
12,Algeria,2000,2001,1896466.0,142980,10,20
12,Algeria,2000,2001,2484971.0,88130,20,50
12,Algeria,2000,2001,930765.0,14294,50,100
12,Algeria,2000,2001,532146.0,4063,100,200
12,Algeria,2000,2001,458628.0,1242,200,500
16,American Samoa,1990,1990,35.0,77,0,1
16,American Samoa,1990,1990,116.0,87,1,2
16,American Samoa,1990,1990,268.0,98,2,5
16,American Samoa,1990,1990,454.0,77,5,10
16,American Samoa,1990,1990,340.0,27,10,20
16,American Samoa,1990,1990,1136.0,18,20,50
16,American Samoa,2000,2003,1511.0,4064,0,1
16,American Samoa,2000,2003,2245.0,1867,1,2
16,American Samoa,2000,2003,2352.0,926,2,5
16,American Samoa,2000,2003,1097.0,189,5,10
16,American Samoa,2000,2003,483.0,40,10,20
16,American Samoa,2000,2003,261.0,8,20,50
16,American Samoa,2010,2008,2130.0,4093,0,1
16,American Samoa,2010,2008,1439.0,889,1,2
16,American Samoa,2010,2008,1082.0,471,2,3
16,American Samoa,2010,2008,406.0,112,3,4
16,American Samoa,2010,2008,344.0,76,4,5
16,American Samoa,2010,2008,829.0,155,5,10
16,American Samoa,2010,2008,1460.0,45,10,20
16,American Samoa,2020,2018,2369.0,5225,0,1
16,American Samoa,2020,2018,1043.0,670,1,2
16,American Samoa,2020,2018,583.0,250,2,3
16,American Samoa,2020,2018,224.0,61,3,4
16,American Samoa,2020,2018,147.0,31,4,5
16,American Samoa,2020,2018,275.0,67,5,10
16,American Samoa,2020,2018,12.0,15,10,20
16,American Samoa,2020,2018,918.0,8,20,50
32,Argentina,1990,1988,148000.0,57057,2,5
32,Argentina,1990,1988,247140.0,31680,5,10
32,Argentina,1990,1988,612991.0,39074,10,20
32,Argentina,1990,1988,2053096.0,59129,20,50
32,Argentina,1990,1988,3646960.0,48006,50,100
32,Argentina,1990,1988,6929412.0,47083,100,200
32,Argentina,1990,1988,15290155.0,47772,200,500
32,Argentina,1990,1988,14870541.0,21101,500,1000
32,Argentina,2020,2018,17682.0,7457,0,1
32,Argentina,2020,2018,16256.0,6856,1,2
32,Argentina,2020,2018,14475.0,6105,2,3
32,Argentina,2020,2018,13160.0,5550,3,4
32,Argentina,2020,2018,12139.0,5120,4,5
32,Argentina,2020,2018,118008.0,15163,5,10
32,Argentina,2020,2018,360671.0,20178,10,20
32,Argentina,2020,2018,1062267.0,32367,20,50
32,Argentina,2020,2018,1915075.0,25226,50,100
32,Argentina,2020,2018,3852557.0,25824,100,200
32,Argentina,2020,2018,10496821.0,32020,200,500
32,Argentina,2020,2018,13287813.0,18592,500,1000
32,Argentina,2020,2018,24520569.0,15400,1000,2500
51,Armenia,2010,2014,75217.0,206338,0,1
51,Armenia,2010,2014,106806.0,69908,1,2
51,Armenia,2010,2014,65797.0,20796,2,3
51,Armenia,2010,2014,55570.0,17564,3,4
51,Armenia,2010,2014,48083.0,15198,4,5
51,Armenia,2010,2014,84788.0,12394,5,10
51,Armenia,2010,2014,38337.0,2901,10,20
51,Armenia,2010,2014,23379.0,868,20,50
51,Armenia,2010,2014,11015.0,153,50,100
51,Armenia,2010,2014,7034.0,58,100,200
51,Armenia,2010,2014,18373.0,38,200,500
36,Australia,2020,2015,71.0,599,0,1
36,Australia,2020,2015,352.0,288,1,2
36,Australia,2020,2015,1965.0,625,2,3
36,Australia,2020,2015,1635.0,520,3,4
36,Australia,2020,2015,1408.0,448,4,5
36,Australia,2020,2015,12642.0,1738,5,10
36,Australia,2020,2015,44736.0,3161,10,20
36,Australia,2020,2015,225260.0,6644,20,50
36,Australia,2020,2015,512828.0,7034,50,100
36,Australia,2020,2015,1507843.0,10441,100,200
36,Australia,2020,2015,5471100.0,16772,200,500
36,Australia,2020,2015,8549725.0,12016,500,1000
36,Australia,2020,2015,354748691.0,25394,1000,2500
40,Austria,1990,1990,6570.0,8890,0,1
40,Austria,1990,1990,62788.0,29804,1,2
40,Austria,1990,1990,287208.0,58104,2,5
40,Austria,1990,1990,490221.0,48678,5,10
40,Austria,1990,1990,973319.0,54508,10,20
40,Austria,1990,1990,2004177.0,58719,20,50
40,Austria,1990,1990,726871.0,9958,50,100
40,Austria,1990,1990,404834.0,2724,100,200
40,Austria,1990,1990,365038.0,1177,200,500
40,Austria,1990,1990,216558.0,314,500,1000
40,Austria,2000,1999,148860.0,29110,1,2
40,Austria,2000,1999,357340.0,43440,2,5
40,Austria,2000,1999,656790.0,38170,5,10
40,Austria,2000,1999,1208900.0,44760,10,20
40,Austria,2000,1999,1636300.0,35080,20,50
40,Austria,2000,1999,650490.0,5980,50,100
40,Austria,2000,1999,2145930.0,2930,100,200
40,Austria,2010,2010,9530.0,9160,0,1
40,Austria,2010,2010,19060.0,16160,1,2
40,Austria,2010,2010,33503.0,10243,2,3
40,Austria,2010,2010,33331.0,10191,3,4
40,Austria,2010,2010,32006.0,9786,4,5
40,Austria,2010,2010,194040.0,26590,5,10
40,Austria,2010,2010,471340.0,32590,10,20
40,Austria,2010,2010,998110.0,32260,20,50
40,Austria,2010,2010,568470.0,8430,50,100
40,Austria,2010,2010,528300.0,2850,100,200
40,Austria,2020,2020,1914.0,2405,0,1
40,Austria,2020,2020,3896.0,4895,1,2
40,Austria,2020,2020,18514.0,5156,2,3
40,Austria,2020,2020,18419.0,5129,3,4
40,Austria,2020,2020,17687.0,4925,4,5
40,Austria,2020,2020,138450.0,18830,5,10
40,Austria,2020,2020,371350.0,25480,10,20
40,Austria,2020,2020,995270.0,31270,20,50
40,Austria,2020,2020,642980.0,9760,50,100
40,Austria,2020,2020,394190.0,2400,100,200
31,Azerbaijan,2010,2015,247704.0,880114,0,1
31,Azerbaijan,2010,2015,321005.0,227796,1,2
31,Azerbaijan,2010,2015,221740.0,74153,2,3
31,Azerbaijan,2010,2015,184520.0,61706,3,4
31,Azerbaijan,2010,2015,158965.0,53160,4,5
31,Azerbaijan,2010,2015,249258.0,37553,5,10
31,Azerbaijan,2010,2015,124116.0,9857,10,20
31,Azerbaijan,2010,2015,126497.0,4426,20,50
31,Azerbaijan,2010,2015,108179.0,1716,50,100
31,Azerbaijan,2010,2015,114877.0,891,100,200
31,Azerbaijan,2010,2015,157611.0,556,200,500
31,Azerbaijan,2010,2015,71215.0,114,500,1000
31,Azerbaijan,2010,2015,276338.0,80,1000,2500
44,Bahamas,1990,1994,290.0,639,0,1
44,Bahamas,1990,1994,584.0,437,1,2
44,Bahamas,1990,1994,1025.0,360,2,5
44,Bahamas,1990,1994,872.0,140,5,10
44,Bahamas,1990,1994,966.0,78,10,20
44,Bahamas,1990,1994,1456.0,50,20,50
44,Bahamas,1990,1994,15143.0,56,50,100
50,Bangladesh,1990,1996,3539568.0,15414493,0,1
50,Bangladesh,1990,1996,2163223.0,1576539,1,2
50,Bangladesh,1990,1996,938428.0,359991,2,3
50,Bangladesh,1990,1996,753118.0,288904,3,4
50,Bangladesh,1990,1996,197277.0,36667,4,5
50,Bangladesh,1990,1996,548827.0,102009,5,10
50,Bangladesh,1990,1996,149457.0,11339,10,20
50,Bangladesh,2010,2008,4587854.0,12812372,0,1
50,Bangladesh,2010,2008,2348106.0,1505447,1,2
50,Bangladesh,2010,2008,984146.0,630968,2,3
50,Bangladesh,2010,2008,1106411.0,234396,3,4
52,Barbados,1990,1989,2146.0,16315,0,1
52,Barbados,1990,1989,660.0,485,1,2
52,Barbados,1990,1989,552.0,190,2,5
52,Barbados,1990,1989,294.0,44,5,10
52,Barbados,1990,1989,366.0,27,10,20
52,Barbados,1990,1989,669.0,23,20,50
52,Barbados,1990,1989,1938.0,26,50,100
52,Barbados,1990,1989,4680.0,33,100,200
52,Barbados,1990,1989,9605.0,34,200,500
52,Barbados,1990,1989,650.0,1,500,1000
56,Belgium,1990,1990,9667.0,12698,0,1
56,Belgium,1990,1990,12183.0,7385,1,2
56,Belgium,1990,1990,48834.0,13537,2,5
56,Belgium,1990,1990,98050.0,12922,5,10
56,Belgium,1990,1990,255189.0,16944,10,20
56,Belgium,1990,1990,586511.0,18783,20,50
56,Belgium,1990,1990,278044.0,4131,50,100
56,Belgium,1990,1990,111886.0,780,100,200
56,Belgium,2000,1999,12380.0,10610,1,2
56,Belgium,2000,1999,30860.0,8420,2,5
56,Belgium,2000,1999,62870.0,8300,5,10
56,Belgium,2000,1999,153600.0,10140,10,20
56,Belgium,2000,1999,551060.0,16720,20,50
56,Belgium,2000,1999,425130.0,6230,50,100
56,Belgium,2000,1999,190880.0,1290,100,200
56,Belgium,2010,2010,1413.0,1407,0,1
56,Belgium,2010,2010,2877.0,2863,1,2
56,Belgium,2010,2010,5040.0,1508,2,3
56,Belgium,2010,2010,5015.0,1501,3,4
56,Belgium,2010,2010,4815.0,1441,4,5
56,Belgium,2010,2010,37620.0,5190,5,10
56,Belgium,2010,2010,98990.0,6800,10,20
56,Belgium,2010,2010,401160.0,12170,20,50
56,Belgium,2010,2010,466910.0,6780,50,100
56,Belgium,2010,2010,334160.0,2260,100,200
56,Belgium,2020,2020,425.0,389,0,1
56,Belgium,2020,2020,865.0,791,1,2
56,Belgium,2020,2020,3545.0,1013,2,3
56,Belgium,2020,2020,3527.0,1008,3,4
56,Belgium,2020,2020,3387.0,968,4,5
56,Belgium,2020,2020,34690.0,4680,5,10
56,Belgium,2020,2020,92240.0,6310,10,20
56,Belgium,2020,2020,351890.0,10630,20,50
56,Belgium,2020,2020,474480.0,6790,50,100
56,Belgium,2020,2020,403060.0,2720,100,200
68,Bolivia (Plurinational State of),2010,2013,79727.0,230422,0,1
68,Bolivia (Plurinational State of),2010,2013,147508.0,110819,1,2
68,Bolivia (Plurinational State of),2010,2013,170970.0,74162,2,3
68,Bolivia (Plurinational State of),2010,2013,173497.0,52793,3,4
68,Bolivia (Plurinational State of),2010,2013,166953.0,39047,4,5
68,Bolivia (Plurinational State of),2010,2013,781659.0,115909,5,10
68,Bolivia (Plurinational State of),2010,2013,1243908.0,95167,10,20
68,Bolivia (Plurinational State of),2010,2013,2048769.0,69401,20,50
68,Bolivia (Plurinational State of),2010,2013,2370734.0,39890,50,100
68,Bolivia (Plurinational State of),2010,2013,1635679.0,12887,100,200
68,Bolivia (Plurinational State of),2010,2013,3017517.0,9833,200,500
68,Bolivia (Plurinational State of),2010,2013,3306785.0,5503,500,1000
68,Bolivia (Plurinational State of),2010,2013,4914112.0,3111,1000,2500
76,Brazil,1990,1986,366408.0,645624,0,1
