country,census_year,land_concentration_percent,latest_undernourishment,previous_undernourishment,latest_severe_insecurity,previous_severe_insecurity,undernourishment_concern,severe_insecurity_concern
Australia,2015,99.78,0.0,0.0,4.2,3.4,False,True
South Africa,2017,99.01,8.1,7.7,8.4,8.4,True,True
Iceland,2010,98.64,0.0,0.0,1.9,1.6,False,True
Canada,2016,94.31,0.0,0.0,1.5,1.2,False,True
Argentina,2018,93.66,3.2,3.3,13.1,13.1,False,True
Uruguay,2011,93.12,0.0,0.0,2.9,2.9,False,True
New Zealand,2017,91.04,0.0,0.0,3.8,3.3,False,True
Chile,2006,88.84,0.0,0.0,3.7,3.6,False,True
Slovakia,2020,88.58,3.6,3.1,2.0,1.8,False,True
Czechia,2020,86.45,0.0,0.0,2.2,2.3,False,True
Colombia,2014,85.93,4.2,4.2,5.3,5.3,False,True
Estonia,2020,80.05,0.0,0.0,1.0,0.7,False,True
Paraguay,2008,77.92,4.5,3.9,6.6,6.1,False,True
Peru,2012,77.02,7.0,7.1,20.3,20.7,True,True
Venezuela (Bolivarian Republic of),2008,75.46,17.6,20.0,,,True,False
Denmark,2020,75.27,0.0,0.0,1.9,1.8,False,True
Bulgaria,2020,75.08,0.0,2.5,2.5,3.5,False,True
United Kingdom of Great Britain and Northern Ireland,2010,73.93,0.0,0.0,2.5,1.6,False,True
Brazil,2017,69.56,3.9,4.2,6.6,8.5,False,True
Barbados,1989,69.27,3.5,3.9,7.4,7.4,False,True
France,2020,67.8,0.0,0.0,2.3,1.6,False,True
Hungary,2020,64.96,0.0,0.0,3.6,3.0,False,True
Bolivia (Plurinational State of),2013,64.18,23.0,20.3,,,True,False
Latvia,2020,63.81,0.0,0.0,1.5,1.0,False,True
Sweden,2020,62.8,0.0,0.0,1.8,1.4,False,True
