country,data_year,total_staple_production_tons,cereal_import_dependency_ratio,energy_adequacy_percent
United States of America,2020,418518350.0,-23.1,152.0
Romania,2020,16513730.0,-81.8,147.0
Canada,2020,49000500.0,-163.0,144.0
France,2020,43983010.0,-102.5,144.0
Germany,2020,22172100.0,-0.1,144.0
Kazakhstan,2020,15772831.0,-47.0,144.0
Serbia,2020,10746111.0,-53.9,144.0
Poland,2020,19209430.0,-22.5,140.0
China,2020,608743205.0,8.8,138.0
"China, mainland",2020,606780000.0,7.9,138.0
Russian Federation,2020,100917355.0,-35.2,138.0
Hungary,2020,13498650.0,-90.4,133.0
Viet Nam,2020,47323107.0,14.0,132.0
Nepal,2020,10642673.0,20.3,129.0
Indonesia,2020,71575202.0,14.1,124.0
Cambodia,2020,11836000.0,-2.4,122.0
Myanmar,2020,28577539.0,-12.8,121.0
Ukraine,2020,55263370.0,-361.9,117.0
Thailand,2020,36725801.0,-11.2,117.0
South Africa,2020,17966626.0,2.6,117.0
Nigeria,2020,20630100.0,17.8,114.0
India,2020,323169480.0,-12.3,110.0
Pakistan,2020,46816810.0,-9.5,110.0
Ethiopia,2020,15769218.0,10.3,110.0
United Republic of Tanzania,2020,11238500.0,-0.9,110.0
