country,data_year,total_animal_production_tons,animal_protein_supply_g_cap_day
Mongolia,2020,1492705.0,92.9
Ireland,2020,9750189.0,92.7
Lithuania,2020,1491670.0,85.1
United States of America,2020,155022214.0,84.0
Israel,2020,1802411.0,81.4
France,2020,31686972.0,79.2
Finland,2020,2891512.0,78.7
Portugal,2020,3092373.0,78.5
Spain,2020,17058403.0,77.2
Netherlands (Kingdom of the),2020,18055591.0,76.6
Denmark,2020,7640654.0,75.7
Germany,2020,41980428.0,73.0
Sweden,2020,3489300.0,72.1
Poland,2020,20087972.0,71.1
Norway,2020,1998528.0,70.5
Italy,2020,13509520.0,69.4
Belarus,2020,9244326.0,69.3
Canada,2020,15388610.0,67.9
Switzerland,2020,4358755.0,66.3
United Kingdom of Great Britain and Northern Ireland,2020,20688418.0,64.8
Greece,2020,2432233.0,64.4
Russian Federation,2020,45959741.0,63.9
Kazakhstan,2020,4371054.0,63.5
Czechia,2020,3267730.0,62.1
Republic of Korea,2020,5610812.0,61.4
