country_name,total_staple_tons_2018,energy_adequacy_percent_2018
Israel,145429.0,159.0
Ireland,485480.0,157.0
United States of America,425720580.0,151.0
Tunisia,1075400.0,147.0
Romania,28850470.0,146.0
Canada,46236700.0,144.0
Germany,23607800.0,143.0
Italy,14773890.0,143.0
Kazakhstan,15289147.0,143.0
France,48076000.0,142.0
Morocco,7502049.0,142.0
Montenegro,5210.2,141.0
Portugal,944760.0,140.0
Denmark,2659410.0,140.0
Poland,13429760.0,139.0
Cuba,806778.94,139.0
Kuwait,8878.0,139.0
Serbia,9906371.0,139.0
Norway,137700.0,138.0
Republic of Korea,5299237.0,137.0
Mexico,30396608.0,136.0
"China, mainland",600743360.0,136.0
China,602874050.0,136.0
Uzbekistan,6045014.0,136.0
Russian Federation,84593390.0,136.0
Guyana,968000.0,135.0
Spain,12963910.0,135.0
Greece,2501610.0,135.0
United Kingdom of Great Britain and Northern Ireland,13555000.0,135.0
Luxembourg,80110.0,134.0
Uruguay,1996000.0,134.0
Belarus,2952610.0,134.0
Lithuania,2926490.0,134.0
Egypt,16583573.0,134.0
Saudi Arabia,601825.0,133.0
Türkiye,26640000.0,133.0
Libya,203550.0,133.0
Switzerland,646299.0,133.0
Netherlands (Kingdom of the),1051200.0,133.0
Mauritania,342057.44,133.0
Latvia,1431600.0,132.0
Czechia,4906990.0,132.0
Panama,478735.0,132.0
Hungary,13202410.0,131.0
New Zealand,563020.1,131.0
Paraguay,6961650.0,131.0
Ghana,3075785.0,131.0
Finland,501600.0,131.0
Malta,0.0,130.0
Colombia,3976167.0,130.0
