country_name,data_year,total_animal_product_tons,animal_protein_supply_g_cap_day
Iceland,2020,194366.73,106.1
"China, Hong Kong SAR",2020,158615.45,95.4
Mongolia,2020,1492704.9,92.9
Ireland,2020,9750189.0,92.7
Lithuania,2020,1491670.0,85.1
United States of America,2020,155022210.0,84.0
Tonga,2020,2875.7197,82.7
Israel,2020,2664589.8,81.4
France,2020,31686972.0,79.2
Finland,2020,2891512.0,78.7
Portugal,2020,3092373.0,78.5
Spain,2020,17058404.0,77.2
Estonia,2020,936311.2,77.0
Netherlands (Kingdom of the),2020,18055590.0,76.6
Denmark,2020,7640654.0,75.7
Montenegro,2020,203626.19,75.7
"China, Macao SAR",2020,9665.53,75.0
Luxembourg,2020,475633.78,74.5
Germany,2020,41980428.0,73.0
Sweden,2020,3489300.0,72.1
Poland,2020,20087972.0,71.1
Nauru,2020,87.29,71.0
Norway,2020,1998528.0,70.5
Italy,2020,13509520.0,69.4
Belarus,2020,9244326.0,69.3
Latvia,2020,990100.0,68.7
Croatia,2020,612000.0,67.9
Canada,2020,15388610.0,67.9
Saint Lucia,2020,4819.31,67.8
French Polynesia,2020,7748.84,67.3
Saint Vincent and the Grenadines,2020,2496.05,66.5
Switzerland,2020,4358755.0,66.3
United Kingdom of Great Britain and Northern Ireland,2020,20688418.0,64.8
Greece,2020,2432232.5,64.4
Russian Federation,2020,45959740.0,63.9
Samoa,2020,4422.0,63.8
Kazakhstan,2020,4371054.0,63.5
Czechia,2020,3267730.0,62.1
Republic of Korea,2020,5610811.5,61.4
Saint Kitts and Nevis,2020,312.03998,61.3
Seychelles,2020,3503.99,61.1
Romania,2020,5348324.5,60.1
Uruguay,2020,2953087.8,59.8
Grenada,2020,5412.16,59.4
Malta,2020,55029.22,59.4
New Caledonia,2020,10065.0,59.4
Qatar,2020,108568.72,59.0
United Arab Emirates,2020,485860.1,58.8
Kuwait,2020,273703.7,58.5
Serbia,2020,2186032.8,58.2
