country_name,year,soya_beans_tons,avg_protein_supply_g_cap_day
United States of America,2000,75055288.0,2133.65
United States of America,2001,78671472.0,2274.33
United States of America,2002,75010032.0,2149.19
United States of America,2003,66782720.0,2329.03
United States of America,2004,85015632.0,2236.18
United States of America,2005,83506576.0,2288.67
United States of America,2006,87000624.0,2183.43
United States of America,2007,72859184.0,2336.95
United States of America,2008,80748704.0,2546.87
United States of America,2009,91469552.0,2655.93
United States of America,2010,90663288.0,2431.02
United States of America,2011,84291400.0,2718.18
United States of America,2012,82790872.0,2479.41
United States of America,2013,91389352.0,2779.51
United States of America,2014,106877872.0,1627.78
United States of America,2015,106953936.0,1766.47
United States of America,2016,116931504.0,1668.13
United States of America,2017,120064968.0,1805.72
United States of America,2018,120514488.0,1726.49
United States of America,2019,96667088.0,1873.74
United States of America,2020,114748944.0,1902.85
United States of America,2021,121503600.0,2526.29
United States of America,2022,116220720.0,4725.27
United States of America,2023,113343424.0,1411.69
