farm_size_range,number_of_properties,percent_of_total_properties,total_area_in_range_ha,percent_of_total_area
0 - 1 ha,606432,12.18,277313.0,0.12
1 - 2 ha,468288,9.40,593953.0,0.25
2 - 3 ha,336993,6.77,749072.0,0.32
3 - 4 ha,260945,5.24,840160.0,0.36
4 - 5 ha,220309,4.42,964885.0,0.41
5 - 10 ha,650714,13.07,4568590.0,1.94
10 - 20 ha,730662,14.67,10205800.0,4.33
20 - 50 ha,855865,17.19,26661900.0,11.30
50 - 100 ha,394157,7.92,26942900.0,11.42
100 - 200 ha,218758,4.39,29380600.0,12.45
200 - 500 ha,147083,2.95,44875300.0,19.02
500 - 1000 ha,54878,1.10,38001700.0,16.11
1000 - 2500 ha,34338,0.69,51848700.0,21.98
